,,2024,2023,2022,2019,2018,,
Amigos,redline,86,90,87,84,72,,
Cambridgeport,redline,76,81,63,60,69,,
Fletcher Maynard,redline,45,45,38,36,43,,
K-Lo,redline,23,36,25,19,18,,
King Open,redline,45,40,46,53,56,,
MLK,redline,92,90,91,84,77,,
Graham,not redline,81,77,68,50,44,,
Haggerty,not redline,73,81,69,56,55,,
Tobin,not redline,89,83,81,80,84,,
Baldwin,not redline,85,83,86,72,69,,
Morse,not redline,78,73,63,70,68,,
Peabody,not redline,80,85,86,87,84,,
,,,,,,,,
,,,,,,,,
CRLS,,54,56,46,,,,
CS Upper,,40,39,28,,,,
PAUS,,69,61,40,,,,
RAUC,,78,78,69,,,,
Vassal Upper,,58,63,57,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,2024,2023,2022,2019,2018,,
Amigos,,86,90,87,84,72,,
Cambridgeport,,76,81,63,60,69,,averages much lower than non-redlined
Fletcher Maynard,,45,45,38,36,43,,Covid had less of an impact
K-Lo,,23,36,25,19,18,,
King Open,,45,40,46,53,56,,
MLK,,92,90,91,84,77,,
Totals,,367,382,350,336,335,,
Average,,61.16666667,63.66666667,58.33333333,56,55.83333333,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Graham,,81,77,68,50,44,,
Haggerty,,73,81,69,56,55,,
Tobin,,89,83,81,80,84,,
Baldwin,,85,83,86,72,69,,
Morse,,78,73,63,70,68,,
Peabody,,80,85,86,87,84,,
Totals,,486,482,453,415,404,,
Average,,81,80.33333333,75.5,69.16666667,67.33333333,,
